"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
30,50,0.1,"TT",17.0218897582064
120,50,0.1,"TT",19.8194722196972
30,100,0.1,"TT",16.9170361784966
120,100,0.1,"TT",19.865453249988
30,50,0.5,"TT",16.9485849402766
120,50,0.5,"TT",16.5982494747975
30,100,0.5,"TT",17.9352761793414
120,100,0.5,"TT",19.5124691563479
30,50,0.1,"AC",22.0646276674797
120,50,0.1,"AC",22.2547412095414
30,100,0.1,"AC",21.1400232608125
120,100,0.1,"AC",24.2925882671931
30,50,0.5,"AC",21.7600628661299
120,50,0.5,"AC",21.7701777765009
30,100,0.5,"AC",22.3346117865492
120,100,0.5,"AC",24.8815550769774
30,50,0.1,"TT",18.2054781234453
120,50,0.1,"TT",17.7128697805176
30,100,0.1,"TT",16.5500026262547
120,100,0.1,"TT",20.5684751077874
30,50,0.5,"TT",15.2441969038902
120,50,0.5,"TT",16.9805968228209
30,100,0.5,"TT",17.1854156056282
120,100,0.5,"TT",20.1035152386813
30,50,0.1,"AC",21.7324936744613
120,50,0.1,"AC",22.76384613856
30,100,0.1,"AC",21.851343993396
120,100,0.1,"AC",26.2638145713489
30,50,0.5,"AC",19.2702535394129
120,50,0.5,"AC",22.6083581642914
30,100,0.5,"AC",23.0113461048943
120,100,0.5,"AC",24.4578674446341
30,50,0.1,"TT",15.9191121246487
120,50,0.1,"TT",17.7960634966272
30,100,0.1,"TT",16.3702216444841
120,100,0.1,"TT",18.6196193389153
30,50,0.5,"TT",15.9442311278474
120,50,0.5,"TT",19.5789010772477
30,100,0.5,"TT",17.3651960107154
120,100,0.5,"TT",19.4368410448941
30,50,0.1,"AC",22.374618305178
120,50,0.1,"AC",22.9019662193228
30,100,0.1,"AC",24.0252595439795
120,100,0.1,"AC",25.0031747807616
30,50,0.5,"AC",22.228504622017
120,50,0.5,"AC",23.6131854644111
30,100,0.5,"AC",23.3003615614458
120,100,0.5,"AC",24.2727300129404
30,50,0.1,"TT",18.109978010088
120,50,0.1,"TT",18.5642003591935
30,100,0.1,"TT",16.3031519511382
120,100,0.1,"TT",18.8714963586971
30,50,0.5,"TT",15.9698427119986
120,50,0.5,"TT",16.9955413595683
30,100,0.5,"TT",15.9112041624744
120,100,0.5,"TT",19.4202422767464
30,50,0.1,"AC",21.9468256820895
120,50,0.1,"AC",21.317041290583
30,100,0.1,"AC",22.9175148443458
120,100,0.1,"AC",25.2502025262134
30,50,0.5,"AC",22.3211358680393
120,50,0.5,"AC",22.6738266260658
30,100,0.5,"AC",21.3355774300588
120,100,0.5,"AC",26.9256441840096
30,50,0.1,"TT",18.2318276830078
120,50,0.1,"TT",16.392387228552
30,100,0.1,"TT",17.347660619346
120,100,0.1,"TT",19.3209404855594
30,50,0.5,"TT",16.8849608380209
120,50,0.5,"TT",17.4791921407384
30,100,0.5,"TT",17.8988522222194
120,100,0.5,"TT",20.2956601538281
30,50,0.1,"AC",22.2561705576783
120,50,0.1,"AC",23.2288286286325
30,100,0.1,"AC",21.5555063554293
120,100,0.1,"AC",24.5960236442797
30,50,0.5,"AC",21.9541726775115
120,50,0.5,"AC",24.2482187626108
30,100,0.5,"AC",20.4666768019516
120,100,0.5,"AC",26.5578018865092
30,50,0.1,"TT",17.1007773126052
120,50,0.1,"TT",18.8446401842039
30,100,0.1,"TT",16.1662516791552
120,100,0.1,"TT",19.1598823105866
30,50,0.5,"TT",16.1531630769105
120,50,0.5,"TT",18.3058952731029
30,100,0.5,"TT",19.1107397084005
120,100,0.5,"TT",19.2158405011885
30,50,0.1,"AC",21.9034585765245
120,50,0.1,"AC",22.0572875002876
30,100,0.1,"AC",21.0998806511461
120,100,0.1,"AC",26.0696109361335
30,50,0.5,"AC",21.632457491603
120,50,0.5,"AC",22.4780825263792
30,100,0.5,"AC",22.1446999377561
120,100,0.5,"AC",25.2910052657403
30,50,0.1,"TT",17.1039021201743
120,50,0.1,"TT",17.6226949062053
30,100,0.1,"TT",18.3126182970386
120,100,0.1,"TT",19.1234953271313
30,50,0.5,"TT",16.7179272128921
120,50,0.5,"TT",17.4969226827247
30,100,0.5,"TT",15.7576795201749
120,100,0.5,"TT",21.6448197653027
30,50,0.1,"AC",22.2333822597202
120,50,0.1,"AC",22.1808523486141
30,100,0.1,"AC",22.691880656213
120,100,0.1,"AC",25.4054081658231
30,50,0.5,"AC",22.0678751821383
120,50,0.5,"AC",23.23395378807
30,100,0.5,"AC",21.5242252006836
120,100,0.5,"AC",26.2997817146709
30,50,0.1,"TT",16.6580327266012
120,50,0.1,"TT",16.8128868716115
30,100,0.1,"TT",14.9628376121326
120,100,0.1,"TT",20.6406978143121
30,50,0.5,"TT",16.5563846683086
120,50,0.5,"TT",17.9751519007861
30,100,0.5,"TT",15.7087124885515
120,100,0.5,"TT",19.9480623180289
30,50,0.1,"AC",23.3314437395196
120,50,0.1,"AC",22.1525963208874
30,100,0.1,"AC",22.2767563171367
120,100,0.1,"AC",25.2592138094295
30,50,0.5,"AC",21.0965868345865
120,50,0.5,"AC",22.8160401262941
30,100,0.5,"AC",22.6034119113794
120,100,0.5,"AC",25.4661974547418
30,50,0.1,"TT",16.164898871052
120,50,0.1,"TT",17.0130067186566
30,100,0.1,"TT",18.3086234204857
120,100,0.1,"TT",20.945584086217
30,50,0.5,"TT",15.2201752779938
120,50,0.5,"TT",16.2395319488596
30,100,0.5,"TT",16.8606124969364
120,100,0.5,"TT",19.9715464781846
30,50,0.1,"AC",23.9201298854228
120,50,0.1,"AC",20.8521512453839
30,100,0.1,"AC",21.5244439628934
120,100,0.1,"AC",26.8713314366731
30,50,0.5,"AC",20.6616922745928
120,50,0.5,"AC",23.5654447083074
30,100,0.5,"AC",22.0155963346322
120,100,0.5,"AC",25.8601898686253
30,50,0.1,"TT",16.42100668498
120,50,0.1,"TT",17.5749409555992
30,100,0.1,"TT",15.6793708538714
120,100,0.1,"TT",20.5143336147633
30,50,0.5,"TT",18.7371442069691
120,50,0.5,"TT",16.7346384219542
30,100,0.5,"TT",16.9368688924538
120,100,0.5,"TT",21.0887483576154
30,50,0.1,"AC",22.8053363582424
120,50,0.1,"AC",23.3755950105988
30,100,0.1,"AC",22.3541034469709
120,100,0.1,"AC",24.2321628413067
30,50,0.5,"AC",20.2210517354125
120,50,0.5,"AC",23.4593499041303
30,100,0.5,"AC",22.3156025025022
120,100,0.5,"AC",25.4677401433455
30,50,0.1,"TT",19.1257213300693
120,50,0.1,"TT",15.8557455377358
30,100,0.1,"TT",16.1440634266157
120,100,0.1,"TT",19.5604255449177
30,50,0.5,"TT",17.0186844536931
120,50,0.5,"TT",17.7327636294027
30,100,0.5,"TT",18.0716634149534
120,100,0.5,"TT",21.3211977510922
30,50,0.1,"AC",21.2099864096591
120,50,0.1,"AC",22.9018001445448
30,100,0.1,"AC",22.7789174484622
120,100,0.1,"AC",24.2864878362673
30,50,0.5,"AC",22.5257483281823
120,50,0.5,"AC",22.8426938878102
30,100,0.5,"AC",21.1434961778073
120,100,0.5,"AC",25.9925159325732
30,50,0.1,"TT",16.9005367085743
120,50,0.1,"TT",16.7574434226056
30,100,0.1,"TT",15.4386689094708
120,100,0.1,"TT",19.517553961595
30,50,0.5,"TT",17.1936076470834
120,50,0.5,"TT",19.3246282172047
30,100,0.5,"TT",17.9776250917473
120,100,0.5,"TT",18.1691282991164
30,50,0.1,"AC",20.3550376204985
120,50,0.1,"AC",22.2140376921989
30,100,0.1,"AC",20.9535407978922
120,100,0.1,"AC",24.8048811190048
30,50,0.5,"AC",21.9869073565606
120,50,0.5,"AC",21.0753860142249
30,100,0.5,"AC",23.4612565616241
120,100,0.5,"AC",25.2913700268617
30,50,0.1,"TT",15.7482637811149
120,50,0.1,"TT",17.7211937932337
30,100,0.1,"TT",15.1523429859491
120,100,0.1,"TT",19.6179692313987
30,50,0.5,"TT",15.8394716369971
120,50,0.5,"TT",16.7429464767873
30,100,0.5,"TT",17.6863679830398
120,100,0.5,"TT",19.0254619385753
30,50,0.1,"AC",20.1595193217513
120,50,0.1,"AC",22.1834725553314
30,100,0.1,"AC",20.7441550952719
120,100,0.1,"AC",24.2724139413821
30,50,0.5,"AC",21.4617010227826
120,50,0.5,"AC",21.1388475447189
30,100,0.5,"AC",20.6834197801937
120,100,0.5,"AC",26.289614887154
30,50,0.1,"TT",17.9792725680914
120,50,0.1,"TT",17.1618133576583
30,100,0.1,"TT",14.971142337666
120,100,0.1,"TT",21.2234864217565
30,50,0.5,"TT",14.88693953754
120,50,0.5,"TT",17.9661794669524
30,100,0.5,"TT",17.1510291897956
120,100,0.5,"TT",20.5869839541919
30,50,0.1,"AC",21.7386316925127
120,50,0.1,"AC",22.3889588571389
30,100,0.1,"AC",21.9243469747248
120,100,0.1,"AC",23.7417623709843
30,50,0.5,"AC",21.7305169804775
120,50,0.5,"AC",21.8583876486434
30,100,0.5,"AC",20.9361826028783
120,100,0.5,"AC",25.4717915752871
30,50,0.1,"TT",17.9306764840488
120,50,0.1,"TT",17.8155423689597
30,100,0.1,"TT",18.2575703963003
120,100,0.1,"TT",20.7919166702585
30,50,0.5,"TT",17.2992586546835
120,50,0.5,"TT",16.3408011134861
30,100,0.5,"TT",16.7458140846172
120,100,0.5,"TT",21.0545331949825
30,50,0.1,"AC",23.45982817238
120,50,0.1,"AC",21.6757835159903
30,100,0.1,"AC",21.9094022974857
120,100,0.1,"AC",24.4100410619088
30,50,0.5,"AC",21.9097773194078
120,50,0.5,"AC",22.4818418631368
30,100,0.5,"AC",21.1818529476775
120,100,0.5,"AC",24.0869359346728
30,50,0.1,"TT",15.9994560779518
120,50,0.1,"TT",17.4138807030691
30,100,0.1,"TT",18.0635778296411
120,100,0.1,"TT",21.0411662285776
30,50,0.5,"TT",17.6847724749507
120,50,0.5,"TT",17.9908625897778
30,100,0.5,"TT",16.5737871538033
120,100,0.5,"TT",19.2045361557076
30,50,0.1,"AC",21.50127423799
120,50,0.1,"AC",22.5271177741011
30,100,0.1,"AC",22.4126838741336
120,100,0.1,"AC",24.9439017941255
30,50,0.5,"AC",22.3529274650031
120,50,0.5,"AC",22.1831511167803
30,100,0.5,"AC",22.5187744589127
120,100,0.5,"AC",24.5880440155251
30,50,0.1,"TT",15.8438724464054
120,50,0.1,"TT",17.348166797725
30,100,0.1,"TT",15.9729011250883
120,100,0.1,"TT",20.9923877693995
30,50,0.5,"TT",17.7393128351772
120,50,0.5,"TT",17.0383845617749
30,100,0.5,"TT",16.7956782324966
120,100,0.5,"TT",21.4612713058785
30,50,0.1,"AC",22.2323157870751
120,50,0.1,"AC",22.1751176935628
30,100,0.1,"AC",21.0968533907089
120,100,0.1,"AC",26.0282126957096
30,50,0.5,"AC",21.9617562394219
120,50,0.5,"AC",22.0391206073326
30,100,0.5,"AC",22.523829640006
120,100,0.5,"AC",25.3913178146598
30,50,0.1,"TT",16.8332554840904
120,50,0.1,"TT",16.2873091982607
30,100,0.1,"TT",16.0606863745578
120,100,0.1,"TT",19.8609426992747
30,50,0.5,"TT",18.6753794613156
120,50,0.5,"TT",17.9841500146802
30,100,0.5,"TT",16.0366215420929
120,100,0.5,"TT",19.729952404417
30,50,0.1,"AC",20.3366239281725
120,50,0.1,"AC",22.6238644984045
30,100,0.1,"AC",23.6939790257594
120,100,0.1,"AC",25.0272038142982
30,50,0.5,"AC",22.1277164315561
120,50,0.5,"AC",22.7290954148667
30,100,0.5,"AC",21.7231301660736
120,100,0.5,"AC",24.8028382812201
30,50,0.1,"TT",17.1474130068909
120,50,0.1,"TT",17.0037577098238
30,100,0.1,"TT",17.3844597945038
120,100,0.1,"TT",18.3917058638245
30,50,0.5,"TT",16.3874658145152
120,50,0.5,"TT",17.4898143036604
30,100,0.5,"TT",17.2953619439488
120,100,0.5,"TT",18.6752071785205
30,50,0.1,"AC",20.8747358029126
120,50,0.1,"AC",21.6065898723753
30,100,0.1,"AC",21.0086408295841
120,100,0.1,"AC",23.3643050937777
30,50,0.5,"AC",21.2882120905978
120,50,0.5,"AC",23.0055268399189
30,100,0.5,"AC",21.5370413215018
120,100,0.5,"AC",26.7911403907473
30,50,0.1,"TT",17.103708643235
120,50,0.1,"TT",16.7447996232695
30,100,0.1,"TT",17.1191546664731
120,100,0.1,"TT",19.9951108026578
30,50,0.5,"TT",18.5655063966217
120,50,0.5,"TT",17.17593691813
30,100,0.5,"TT",16.8667695414619
120,100,0.5,"TT",19.58493491003
30,50,0.1,"AC",20.3588957124181
120,50,0.1,"AC",23.2381533959621
30,100,0.1,"AC",22.2191917014857
120,100,0.1,"AC",26.1857125934798
30,50,0.5,"AC",21.1159450128201
120,50,0.5,"AC",20.4512143523344
30,100,0.5,"AC",23.1463776654846
120,100,0.5,"AC",24.0980441487411
30,50,0.1,"TT",18.2974693069743
120,50,0.1,"TT",16.7604414196139
30,100,0.1,"TT",17.0802299741503
120,100,0.1,"TT",20.8647918242825
30,50,0.5,"TT",18.0324836267173
120,50,0.5,"TT",17.9931972446976
30,100,0.5,"TT",16.8575569818934
120,100,0.5,"TT",21.2121081747775
30,50,0.1,"AC",24.1349635244817
120,50,0.1,"AC",22.2991456170903
30,100,0.1,"AC",21.4648968693787
120,100,0.1,"AC",24.6015831885877
30,50,0.5,"AC",23.8763039081563
120,50,0.5,"AC",22.0665641754541
30,100,0.5,"AC",19.5378883958838
120,100,0.5,"AC",25.6400520835144
30,50,0.1,"TT",17.309157842036
120,50,0.1,"TT",17.1901869933509
30,100,0.1,"TT",19.1662628583949
120,100,0.1,"TT",20.6703746565452
30,50,0.5,"TT",16.9409306135879
120,50,0.5,"TT",19.1939875928548
30,100,0.5,"TT",16.5087574294001
120,100,0.5,"TT",20.537456703851
30,50,0.1,"AC",22.6933538369344
120,50,0.1,"AC",23.2412183933679
30,100,0.1,"AC",24.9053574947219
120,100,0.1,"AC",23.8193344003581
30,50,0.5,"AC",22.9339590757351
120,50,0.5,"AC",26.2189928606646
30,100,0.5,"AC",22.1192312074899
120,100,0.5,"AC",25.5715598901319
30,50,0.1,"TT",17.9746826676264
120,50,0.1,"TT",17.7621443443103
30,100,0.1,"TT",16.2637456621271
120,100,0.1,"TT",20.3076921919271
30,50,0.5,"TT",17.6274192645059
120,50,0.5,"TT",18.3618979135121
30,100,0.5,"TT",17.6993511677211
120,100,0.5,"TT",20.2244287971233
30,50,0.1,"AC",20.8021116077822
120,50,0.1,"AC",23.245449708963
30,100,0.1,"AC",21.7932019563327
120,100,0.1,"AC",23.4900204686302
30,50,0.5,"AC",22.5369923489743
120,50,0.5,"AC",23.34836485248
30,100,0.5,"AC",21.2171431671217
120,100,0.5,"AC",24.9054444683066
30,50,0.1,"TT",15.9799367813503
120,50,0.1,"TT",17.6327655796089
30,100,0.1,"TT",17.9446915632476
120,100,0.1,"TT",21.418025818756
30,50,0.5,"TT",17.4474152494073
120,50,0.5,"TT",16.9170720640341
30,100,0.5,"TT",17.2322973794843
120,100,0.5,"TT",21.0046608782275
30,50,0.1,"AC",21.6312814240057
120,50,0.1,"AC",21.7349065660665
30,100,0.1,"AC",20.6948473596852
120,100,0.1,"AC",24.4310871166266
30,50,0.5,"AC",20.3101545757866
120,50,0.5,"AC",21.5775843409778
30,100,0.5,"AC",23.2817557925814
120,100,0.5,"AC",24.5662360715044
30,50,0.1,"TT",15.7550561172593
120,50,0.1,"TT",18.9275367628792
30,100,0.1,"TT",17.2799905721347
120,100,0.1,"TT",20.3633189881771
30,50,0.5,"TT",19.4499682317756
120,50,0.5,"TT",18.9501346487778
30,100,0.5,"TT",15.1908803141805
120,100,0.5,"TT",20.3294309810087
30,50,0.1,"AC",23.548302909917
120,50,0.1,"AC",20.2166807846735
30,100,0.1,"AC",21.0617307496842
120,100,0.1,"AC",24.9903075965558
30,50,0.5,"AC",20.8196281584199
120,50,0.5,"AC",22.1405063007308
30,100,0.5,"AC",21.7745594991618
120,100,0.5,"AC",25.9750168532751
30,50,0.1,"TT",17.1416340971459
120,50,0.1,"TT",18.0308031739432
30,100,0.1,"TT",18.0214169214944
120,100,0.1,"TT",19.3643219651456
30,50,0.5,"TT",17.368756492186
120,50,0.5,"TT",17.4197884708969
30,100,0.5,"TT",18.0392140739074
120,100,0.5,"TT",20.4695967719942
30,50,0.1,"AC",22.9147315743062
120,50,0.1,"AC",24.9938641016132
30,100,0.1,"AC",21.3242024388304
120,100,0.1,"AC",26.2340872221696
30,50,0.5,"AC",22.7522689246273
120,50,0.5,"AC",21.4592529256938
30,100,0.5,"AC",20.7116012897892
120,100,0.5,"AC",28.1502072217316
30,50,0.1,"TT",16.7099516820225
120,50,0.1,"TT",16.7311598826535
30,100,0.1,"TT",16.2173711248519
120,100,0.1,"TT",20.2562199009872
30,50,0.5,"TT",17.4561181473945
120,50,0.5,"TT",17.5202423284941
30,100,0.5,"TT",18.3155663568232
120,100,0.5,"TT",20.7645870527711
30,50,0.1,"AC",21.1809272330948
120,50,0.1,"AC",22.5485564985798
30,100,0.1,"AC",22.735736676933
120,100,0.1,"AC",25.0318281633962
30,50,0.5,"AC",23.5652665016784
120,50,0.5,"AC",23.0556821761282
30,100,0.5,"AC",22.3759470787131
120,100,0.5,"AC",23.6614128308865
30,50,0.1,"TT",15.6973256397496
120,50,0.1,"TT",16.3101904762712
30,100,0.1,"TT",17.6194688677289
120,100,0.1,"TT",21.0416501405312
30,50,0.5,"TT",18.6891407973707
120,50,0.5,"TT",16.2124117391149
30,100,0.5,"TT",15.7460124075369
120,100,0.5,"TT",19.4262986266476
30,50,0.1,"AC",21.6736613848669
120,50,0.1,"AC",21.4011420058374
30,100,0.1,"AC",22.919725941249
120,100,0.1,"AC",24.0744381416707
30,50,0.5,"AC",21.7774652326747
120,50,0.5,"AC",21.3494524722362
30,100,0.5,"AC",21.9232819294007
120,100,0.5,"AC",25.8296946254326
30,50,0.1,"TT",17.1833987650766
120,50,0.1,"TT",18.1510256235237
30,100,0.1,"TT",17.4197061968991
120,100,0.1,"TT",18.6612021323416
30,50,0.5,"TT",15.2651547475407
120,50,0.5,"TT",17.8808829792173
30,100,0.5,"TT",15.6881737121895
120,100,0.5,"TT",21.7526632461804
30,50,0.1,"AC",22.6711164500853
120,50,0.1,"AC",22.3114017054425
30,100,0.1,"AC",22.0760225168448
120,100,0.1,"AC",24.5928878653162
30,50,0.5,"AC",22.9022152908561
120,50,0.5,"AC",21.0247891534317
30,100,0.5,"AC",21.5889944186061
120,100,0.5,"AC",24.3127082238472
30,50,0.1,"TT",15.7912600299346
120,50,0.1,"TT",16.9600898552903
30,100,0.1,"TT",19.1983095473836
120,100,0.1,"TT",18.3632663598162
30,50,0.5,"TT",17.3038881881712
120,50,0.5,"TT",17.3403060372356
30,100,0.5,"TT",17.8427297061949
120,100,0.5,"TT",20.4402144999895
30,50,0.1,"AC",21.5994146207483
120,50,0.1,"AC",20.773547426753
30,100,0.1,"AC",21.6662521335079
120,100,0.1,"AC",25.4207780218342
30,50,0.5,"AC",21.0267858863357
120,50,0.5,"AC",21.7330564378838
30,100,0.5,"AC",21.255302033211
120,100,0.5,"AC",26.0298464543473
30,50,0.1,"TT",15.6074405665884
120,50,0.1,"TT",16.1994465219644
30,100,0.1,"TT",16.6757741417364
120,100,0.1,"TT",19.4461689692977
30,50,0.5,"TT",18.0971140749027
120,50,0.5,"TT",16.7708305444752
30,100,0.5,"TT",17.3037808761307
120,100,0.5,"TT",18.7302484685357
30,50,0.1,"AC",23.199868504764
120,50,0.1,"AC",24.1157796102856
30,100,0.1,"AC",21.5595150267496
120,100,0.1,"AC",27.3373830718093
30,50,0.5,"AC",22.4547810442199
120,50,0.5,"AC",23.0951813259985
30,100,0.5,"AC",21.8418436583147
120,100,0.5,"AC",23.1729197459654
30,50,0.1,"TT",17.555699684807
120,50,0.1,"TT",16.912277918475
30,100,0.1,"TT",16.786225193
120,100,0.1,"TT",20.333865109292
30,50,0.5,"TT",17.9040816522215
120,50,0.5,"TT",18.3738646820293
30,100,0.5,"TT",16.3983290147263
120,100,0.5,"TT",18.9885244665497
30,50,0.1,"AC",22.6397550893629
120,50,0.1,"AC",20.7617081424622
30,100,0.1,"AC",22.1441126133192
